                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9022,                0.55017,                 1.1595,                0.98398,                0.98701,                0.98935,                0.82125,                0.71884,                0.28279,                 1.0579,              0.0057925,              0.0057925,              0.0057925
                     36,                0.89766,                 0.5446,                  1.157,                0.98631,                0.98667,                0.99018,                0.82201,                 0.7199,                0.28126,                 1.0577,              0.0056688,              0.0056688,              0.0056688
                     37,                0.89571,                0.54396,                 1.1538,                0.98618,                 0.9886,                0.99106,                0.82489,                 0.7177,                 0.2788,                  1.062,               0.005545,               0.005545,               0.005545
                     38,                0.88714,                0.54002,                 1.1544,                0.98588,                0.98888,                0.99109,                0.82593,                0.71186,                0.27837,                 1.0579,              0.0054212,              0.0054212,              0.0054212
                     39,                0.88778,                0.52982,                 1.1514,                0.98413,                0.98874,                0.99013,                0.82802,                 0.7063,                0.27422,                 1.0491,              0.0052975,              0.0052975,              0.0052975
                     40,                0.87981,                0.52864,                 1.1472,                0.98749,                0.98788,                0.99125,                0.82863,                0.70837,                0.27042,                 1.0471,              0.0051737,              0.0051737,              0.0051737
                     41,                0.87612,                0.51414,                 1.1456,                0.98627,                 0.9912,                0.99124,                0.82999,                0.70788,                0.26942,                 1.0516,                0.00505,                0.00505,                0.00505
                     42,                0.88324,                0.52357,                 1.1482,                0.98732,                0.99016,                0.99198,                0.83287,                0.70644,                0.26927,                 1.0519,              0.0049263,              0.0049263,              0.0049263
                     43,                0.87844,                0.51699,                 1.1472,                0.98756,                 0.9896,                0.99095,                 0.8315,                0.70811,                0.26884,                 1.0556,              0.0048025,              0.0048025,              0.0048025
                     44,                0.87012,                0.50787,                 1.1397,                0.98788,                0.99183,                0.99147,                0.83386,                0.70294,                0.26488,                 1.0532,              0.0046788,              0.0046788,              0.0046788
                     45,                0.86324,                 0.5005,                 1.1362,                0.98785,                0.99097,                0.99147,                0.83446,                0.69892,                0.26238,                 1.0499,               0.004555,               0.004555,               0.004555
                     46,                0.86567,                0.50078,                 1.1379,                 0.9873,                0.99042,                  0.991,                0.83348,                0.70115,                0.26308,                 1.0486,              0.0044313,              0.0044313,              0.0044313
                     47,                0.85486,                0.49388,                 1.1299,                 0.9873,                0.99306,                0.99137,                 0.8361,                0.69689,                0.25832,                 1.0476,              0.0043075,              0.0043075,              0.0043075
                     48,                0.85289,                0.49162,                 1.1292,                0.98946,                0.99112,                0.99107,                0.83566,                 0.6945,                0.25793,                 1.0482,              0.0041837,              0.0041837,              0.0041837
                     49,                0.85029,                 0.4854,                  1.126,                0.98915,                0.99227,                0.99108,                0.83646,                0.69445,                0.25601,                 1.0466,                0.00406,                0.00406,                0.00406
                     50,                0.85036,                0.48379,                 1.1261,                0.98668,                0.99133,                0.99059,                0.83719,                0.69163,                0.25656,                 1.0396,              0.0039362,              0.0039362,              0.0039362
                     51,                0.84797,                 0.4832,                 1.1259,                0.98952,                0.99238,                0.99118,                0.84006,                0.68663,                0.25277,                 1.0423,              0.0038125,              0.0038125,              0.0038125
                     52,                0.84694,                0.47633,                 1.1246,                0.98995,                0.99218,                 0.9907,                0.83892,                0.68678,                0.25123,                 1.0375,              0.0036888,              0.0036888,              0.0036888
                     53,                0.83939,                0.47367,                 1.1237,                0.98873,                0.99063,                0.99107,                0.84019,                0.68734,                0.25144,                 1.0395,               0.003565,               0.003565,               0.003565
                     54,                0.83223,                0.47263,                 1.1216,                0.98869,                0.98954,                0.99104,                0.83978,                 0.6835,                 0.2502,                 1.0357,              0.0034413,              0.0034413,              0.0034413
                     55,                0.84243,                0.46621,                 1.1225,                0.98881,                0.99196,                0.99171,                0.84223,                0.68367,                0.24956,                 1.0372,              0.0033175,              0.0033175,              0.0033175
                     56,                0.83043,                0.46102,                 1.1153,                0.98787,                0.99074,                0.99119,                0.84228,                0.68276,                0.24844,                 1.0347,              0.0031938,              0.0031938,              0.0031938
